showId,date,venue,rarityScore
1621475790,2012-01-12,Howl at the Moon,0.436609
1728834329,2012-03-03,Viva Zapata,0.470133
1621472208,2012-03-08,The Java Barn,0.459517
1621475924,2012-03-10,Viva Zapata,0.460505
1621478182,2012-03-22,The Acoustic,0.431671
1621478337,2012-03-24,Ted's Restaurant & Bar,0.416104
1728834687,2012-04-21,The Acoustic,0.425039
1621486570,2012-06-01,Nantahala Outdoor Center,0.428098
1621479434,2012-06-21,The Whiskey,0.426482
1621486937,2012-07-04,Wilton Fireworks,0.502737
1621487212,2012-07-13,Patchella,0.059730
1621480815,2012-07-14,The Acoustic,0.453201
1621481508,2012-08-04,O'Neill's Irish Pub & Restaurant,0.471227
1621483050,2012-08-10,Jimmy's Seaside Tavern,0.437068
1621484905,2012-09-02,Dead Air 88.1,0.741686
1621483347,2012-10-06,StageOne at FTC,0.532309
1621484557,2013-02-23,Dover Brickhouse,0.391781
1621484025,2013-05-18,The Sink,0.373261
1722624163,2013-07-05,TB House,0.279377
1613690131,2014-11-21,O'Neill's Irish Pub & Restaurant,0.536200
1616038775,2014-11-26,Station House Bar and Grille,0.457456
1613690543,2014-12-20,Factory Underground Studio,0.487994
1616038744,2014-12-23,Station House Bar and Grille,0.393209
1601959537,2015-01-16,Viva Zapata,0.403420
1616038160,2015-02-20,Jimmy's Seaside Tavern,0.419037
1616037808,2015-03-14,Jimmy's Seaside Tavern,0.372714
1616037488,2015-04-18,Tavern On Seven,0.409797
1614304463,2015-05-02,O'Neill's Irish Pub & Restaurant,0.469000
1616037305,2015-06-17,The Acoustic,0.203283
1616037254,2015-08-18,BRYAC Black Rock,0.111680
1743526614,2015-09-19,O'Neill's Irish Pub & Restaurant,0.390892
1743792240,2015-09-26,Stella Blues,0.094685
1698084503,2015-10-01,The Acoustic,0.222837
1616036851,2015-12-19,Factory Underground Studio,0.625760
1705934210,2016-01-19,The Acoustic,0.125619
1708449646,2016-02-20,BRYAC Black Rock,0.390892
1616036774,2016-03-19,The Acoustic,0.223430
1616036749,2016-03-26,Rock n Roll Resort,0.226395
1614304693,2016-04-15,O'Neill's Irish Pub & Restaurant,0.312839
1616036658,2016-04-16,Stella Blues,0.280292
1616036639,2016-04-20,Loft,0.235439
1686327822,2016-06-17,Garcia's at The Capitol Theatre,0.252743
1689369871,2016-07-09,Viva Zapata,0.402007
1689370609,2016-07-14,Stella Blues,0.130797
1616036210,2016-08-06,Backwoods Pondfest,0.125428
1616035556,2016-08-12,Rebirth Arts Festival,0.207205
1692375765,2016-08-18,King Neptune's Pub,0.258732
1724194134,2016-08-25,Radio Bean,0.212267
1616034465,2016-10-01,The Capitol Theatre,0.155454
1648264582,2016-10-09,Night Shift Brewery,0.432686
1616034399,2016-10-23,Vinyl Street Cafe,0.256091
1743794784,2016-10-29,Space Ballroom,0.053466
1614304915,2016-11-23,O'Neill's Irish Pub & Restaurant,0.428087
1616032614,2016-12-16,Garcia's at The Capitol Theatre,0.159646
1615962713,2017-01-13,Space Ballroom,0.181144
1615962491,2017-01-18,Alchemy,0.144778
1615962104,2017-01-28,Garcia's at The Capitol Theatre,0.359787
1615961762,2017-02-08,Nectar's,0.179866
1615961746,2017-02-10,Gypsy Sally's,0.133822
1615961722,2017-02-11,Pacific Standard Tavern,0.258366
1615961628,2017-02-25,Arch Street Tavern,0.134700
1615961468,2017-03-24,The Acoustic,0.163634
1743798013,2017-03-25,The Iron Horse,0.390892
1616029967,2017-04-01,American Beauty,0.125890
1679182964,2017-04-29,Snug Harbor,0.152482
1615961143,2017-05-10,The Warehouse at FTC,0.157410
1669048356,2017-05-20,Carnton Plantation,0.442079
1615873444,2017-07-08,Dunedin Brewery,0.274741
1615960408,2017-07-12,The Charleston Pour House,0.191825
1615875210,2017-07-13,The Evening Muse,0.315075
1615960115,2017-07-14,The Whiskey,0.223444
1615959437,2017-07-15,Sierra Nevada Brewing Co.,0.266306
1615875482,2017-08-19,The Acoustic,0.319568
1615958881,2017-09-01,Pacific Standard Tavern,0.193147
1615958603,2017-09-23,Hometown Get Down,0.139086
1615956261,2017-10-02,Garcia's at The Capitol Theatre,0.241404
1615956067,2017-10-21,Pacific Standard Tavern,0.148283
1615954994,2017-10-24,Brooklyn Bowl,0.115499
